"","syntax","text","order","preposition","mainform","mainfunc","subform","subfunc","transitivity","vendler","context"
"1",NA,"narrative","after","yn","Verb","S/A","PP","P","transitive","activity","P=S/A(UP)implicit"
"2",NA,"narrative","after","yn","Verb","S/A","PP","P","transitive","activity","P=S/A(UP)implicit"
"3",NA,"narrative","after","yn","Verb","S/A","PP","P","transitive","activity","P=S/A(UP)implicit"
"4",NA,"narrative","after","yn","NP","P","implizit","S/A","transitive","activity","P=S/A(UP)implicit"
"5",NA,"narrative","before","yn","Pro","P","implizit","S/A","transitive","activity","P=S/A(UP)implicit"
"6","adverbial","narrative","after","namyn",NA,NA,NA,NA,"intransitive","activity",NA
"7","adverbial","narrative","after","namyn",NA,NA,NA,NA,"intransitive","state",NA
"8","adverbial","narrative","after","namyn","Verb","S/A","Posspro","P","transitive","activity",NA
"9","adverbial","narrative","after","namyn","NP","S/A","Posspro","P","transitive","activity",NA
"10","adverbial","historic","after","namyn","Verb","S/A","implizit","S/A","transitive","accomplishment","S/A=S/A(UP)implicit"
"11","adverbial","narrative","after","namyn","Verb","S/A","implizit","S/A","intransitive","activity","S/A=S/A(UP)implicit"
"12","adverbial","historic","after","namyn","Verb","S/A","implizit","S/A","transitive","activity","S/A=S/A(UP)implicit"
"13","adverbial","historic","after","namyn","Verb","S/A","implizit","S/A","intransitive","activity","S/A=S/A(UP)implicit"
"14","adverbial","narrative","after","namyn","Verb","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"15","adverbial","historic","after","namyn","NP","S/A","implizit","S/A","intransitive","activity","S/A=S/A(UP)implicit"
"16","adverbial","historic","after","namyn","Verb","S/A","implizit","S/A","intransitive","activity","S/A=S/A(UP)implicit"
"17","adverbial","historic","after","namyn","Verb","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"18","adverbial","narrative","after","namyn","Verb","S/A","implizit","S/A","either","achievement","S/A=S/A(UP)implicit"
"19","adverbial","historic","after","namyn","Verb","S/A","implizit","S/A","transitive","activity","S/A=S/A(UP)implicit"
"20","adverbial","narrative","after","namyn","PP","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"21","adverbial","narrative","after","namyn","Verb","S/A","implizit","S/A","transitive","accomplishment","S/A=S/A(UP)implicit"
"22","adverbial","historic","after","namyn","Verb","S/A","implizit","S/A","transitive","activity","S/A=S/A(UP)implicit"
"23","adverbial","historic","after","namyn","Verb","S/A","implizit","S/A","transitive","activity","S/A=S/A(UP)implicit"
"24","adverbial","narrative","after","namyn","PP","S/A","implizit","S/A","intransitive","activity","S/A=S/A(UP)implicit"
"25","adverbial","narrative","after","namyn","Verb","S/A","implizit","S/A","either","achievement","S/A=S/A(UP)implicit"
"26","adverbial","narrative","after","namyn","PP","S/A","implizit","S/A","either","achievement","S/A=S/A(UP)implicit"
"27","adverbial","historic","after","namyn","Verb","S/A","implizit","S/A","transitive","accomplishment","S/A=S/A(UP)implicit"
"28","adverbial","historic","after","namyn","Verb","S/A","implizit","S/A","transitive","activity","S/A=S/A(UP)implicit"
"29","adverbial","narrative","after","namyn","PP","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"30","adverbial","historic","after","namyn","Verb","S/A","implizit","S/A","transitive","accomplishment","S/A=S/A(UP)implicit"
"31","adverbial","narrative","after","namyn","implizit","S/A","implizit","S/A","either","achievement","S/Aimplicit=S/A(UP)implicit"
"32","absolute","narrative","after","gwedy","NP","S/A","Posspro","S/A","transitive","achievement","S/A=S/A(UP)"
"33","absolute","narrative","after","gwedy","NP","S/A","implizit","S/A","intransitive","achievement","S/A=S/A(UP)implicit"
"34","absolute","narrative","after","gwedy","NP","S/A","implizit","S/A","transitive","activity","S/A=S/A(UP)implicit"
