"","ID","textID","sentenceID","sentence","translation","PP"
"1",849,"PKM","63.11","""Crogi lleidyr a geueis yn lledratta arnaf,"" heb ef.","'I'm hanging a thief I caught stealing from me,' he said.; Davies2007:44","yn lledratta arnaf"
"2",837,"PKM","62.2-3","""Crogi lleidyr a geueis yn lledratta arnaf,""…","'Hanging a thief I caught stealing from me,'…; Davies2007:43","yn lledratta arnaf"
"3",843,"PKM","62.20-21","""Crogi lleidyr a geueis yn lledratta arnaf,"" heb ef.","'I am hanging a thief I caught stealing from me,' he said.; Davies2007:44","yn lledratta arnaf"
"4",829,"PKM","60.21-22","""Lleidyr,"" heb ynteu, ""a geueis yn lledratta arnaf.""","'A thief that I caught stealing from me,' he replied.; Davies2007:42","yn lledratta arnaf"
"5",838,"PKM","62.7-9","""Yn lledratta y keueis ef, a chyfreith lleidyr a wnaf inheu ac ef, y grogi.""","'I caught it stealing, and I am punishing it in accordance with the law, which is to hang it.'; Davies2007:43","Yn lledratta"
"6",751,"PKM","40.18-20","""nyt oes gynghor namyn kilyaw drwy Linon (auon oed yn Iwerdon), a gadu Llinon y rot ac ef, a thorri y bont yssyd ar yr auon.","… ‘the only advice is to retreat across the Liffey (a river in Ireland), and put the Liffey between you and him, and then destroy the bridge that crosses the river. Davies2007:29","namyn kilyaw drwy Linon (auon oed yn Iwerdon), a gadu Llinon y rot ac ef, a thorri y bont yssyd ar yr auon."
"7",1065,"Ger","13.392-393","‘Ny uynhaf i,’ heb ynteu, ‘namyn bot y uorwyn ual y may yny del y lys Arthur.","‘I want nothing,’ he replied, ‘except that the maiden remain as she is until she comes to Arthur’s court.…' Davies2007:149","namyn bot y uorwyn ual y may yny del y lys Arthur"
"8",927,"PKM","91.13-14","Ac na chollych dy enw, namyn dy alw uyth yn Blodeuwed.","You shall not lose your name, however, but shall always be called Blodeuwedd.; Davies2007:63","namyn dy alw uyth yn Blodeuwed"
"9",931,"BMW","1.10-13","Nyt yr digrifwch hela yd helei yr amherawdyr yn gyhyt a hynny, namyn [am] y wneuthur yn gyuurd gwr ac y bei arglwyd ar y sawl vrenhined hynny.","It was not so much for the pleasure of hunting that the emperor hunted for that length of time, but because he had been made a man of such high rank that he was lord over all those kings. Davies2007:103 [his making]","namyn [am] y wneuthur yn gyuurd gwr ac y bei arglwyd ar y sawl vrenhined hynny."
"10",471,"BrutRB","84.32-36","ac wrth hynny ny lauassassant gyrchu y tir ar eu torr. namyn ymchoelut eu hwyleu a dyuot racdunt yny doethant hyt yn traeth totneis y'r tir.","and therefore they did not dare to attack the land on their stronghold but turned their sails and came from them until they came to the shore of Totneis to the land","namyn ymchoelut eu hwyleu a dyuot racdunt yny doethant hyt yn traeth totneis y'r tir."
"11",1175,"PKM","74.19-21","Ac yn hynny ny doethant wy yng kyuyl y llys, namyn trigyaw y gylchaw y wlat a wnaethant yny aeth guahard udunt ar y bwyt a'y llyn.","Meanwhile Gwydion and Gilfaethwy did not come near the court, but continued to circuit the land until a ban went out denying them food and drink.; Davies2007:52","namyn trigyaw y gylchaw y wlat a wnaethant yny aeth guahard udunt ar y bwyt a'y llyn."
"12",323,"BrutRB","69.41-45","ny mynnwys ef bot meibon llud yn dirran o'r deyrnas. namyn rodi y auarwy lundein a Jarllaeth geint. ac y deneuan iarllaeth kernyw","he did not wish that Llud's sons were without a share of the kingdom except giving London to Afarwy and a plain earlship and to Denefan the earlship of Cornwall","namyn rodi y auarwy lundein a Jarllaeth geint."
"13",1198,"BrutRB","37.29-31","ny cheynt wynteu o ennyt fo namyn rydec yn noethon diaruot ymplith eu gelynyon aruawc.","they did not ?take long to flee but ran naked unarmed amongst their armed enemies.","namyn rydec yn noethon diaruot ymplith eu gelynyon aruawc."
"14",803,"PKM","54.10-12","ac nit ymyrrwn ar gyweiraw lledyr, namyn y brynu yn barawt, a gwneuthur yn gueith ohonaw.","And we will not bother to tan the leather but buy it already prepared, and work with that.; Davies2007:38","namyn y brynu yn barawt, a gwneuthur yn gueith ohonaw."
"15",1197,"BrutRB","37.20-23","ac yna nys gohiryassant neb o'e wyr namyn mynet y mywn ar tor y kysgaduryeit a rodi dyrnodeu agheuawl udunt.","And then none of his [Brutus] men delayed it but went in the door of the sleeping and gave deathly blows to them.","namyn mynet y mywn ar tor y kysgaduryeit a rodi dyrnodeu agheuawl udunt."
"16",265,"BrutRB","39.35-37","ac ony mynnwch namyn mynet ymeith mal y bo hyfrydach genwch.","[I give you a third of the kingdom freely in peace to settle] and if you wish not but go away as it was more pleasant for you","namyn mynet ymeith"
"17",1178,"BrutRB","33.51-34.2","ac os codi goruchelder dy vedyant a'th gyvoeth di a wna hynny. na dot yn eu herbyn. namyn madeu udunt. kanys anyan a dylyet yw y bop kaeth llafuryaw o bop ford y ymhoelut ar y hen deilygdawt a'e rydit.","and if it raises the dignity of your possessions and your kingdom, you shouldn't come after them but pardon them because it is a characteristic and claim for every prisoner to endeavor every way to return to his old dignity and his freedom.","namyn madeu udunt"
"18",805,"PKM","54.25-27","""Pam y kymerwn ninheu hynny gan y tayogeu lladron,"" heb y Pryderi, ""namyn eu llad oll?""","'Why should we take that from the thieving churls, rather than kill them all?' said Pryderi.; Davies2007:39","namyn eu llad oll"
"19",1220,"BrutRB","48.29-32","ac yr hynny ny leihawys karyat esyllt gantaw. namyn y gossot y mywn dayar yn llundein. ac anwylyt idaw o'e gwassanaethu yn dirgel ac o'e gwarchadw.","and despite that the love for Esyllt did not diminish with him but putting her in a vault in London with a confidant of his in order to serve her in secret and to protect her","namyn y gossot y mywn dayar yn llundein"
"20",833,"PKM","61.7-9","""Ie, Arglwyd,"" heb hi, ""nit oes achaws y mi y uot yn borth y'r pryf hwnnw, namyn goglyt ansyberwyt y ti.","'Well, lord,' she said, 'there is no reason why I should help this creature, except to prevent you from being disgraced.; Davies2007:43","namyn goglyt ansyberwyt y ti."
"21",831,"PKM","61.4-5","A phei gwnelut iawn, nyt ymyrrut yn y pryf, namyn y ellwng e ymdeith.","If you were to do the right thing, you would not bother with the creature, but let it go.; Davies2007:43","namyn y ellwng e ymdeith."
"22",1212,"BrutRB","44.29-31","ac o'r parth yd oed vrutus yn bidinaw. nyt yn wreigawl namyn yn dysgu y vydinoed yn drybelit drut","and from the side Brutus arranged for battle, he was not womanly but instructing the armies eloquently valiant","namyn yn dysgu y vydinoed yn drybelit drut"
"23",1195,"BrutRB","36.41-46","a dywedut ohonaw ynteu nat yr kyrchu a brydychu y dathoed. namyn ry dianc o greulawn garchar gwyr tro. ac y erchi udunt wynteu dyuot ygyt ac ef hyt y lle yd oed antigonus yn llechu","and he [Anacletus] said that he came neither for an attack nor treachery but having escaped from the cruel prison of the Trojans and to ask them to come with him to the place where Antigonus was hiding,","namyn ry dianc o greulawn garchar gwyr tro."
"24",949,"BMW","4.26-4.27","Ac ny cheffit dim gantaw, namyn kyscu;","He did nothing but sleep,…Davies2007:105","namyn kyscu"
"25",773,"PKM","47.18-19","Ac o'r gyuawr honno, ny allyssant wy orfowys namyn kyrchu a'r penn parth a Llundein.","And from that moment they could not rest but made for London with the head.; Davies2007:34","namyn kyrchu a'r penn parth a Llundein"
"26",714,"PKM","32.14-15","Ac nyt oes it a wnelych, namyn kyrchu dy longeu.""","…there is nothing for you to do but return to your ships.'; Davies2007:24","namyn kyrchu dy longeu"
"27",529,"BrutRB","90.5-8","ac yr hynny eissoes ny pheidyassant yr amherawdyr a'e lu a'e darpar. Namyn kynullaw gwyr rufein","and then already they did not ?leave the emporer and his host and ?their ?intent except gathering the men of Rome","Namyn kynullaw gwyr rufein"
